Company,Stage,Dealflow
Newlin.vc,Pre-Seed,Low
Kube VC,Seed,Low
Prithvi Ventures,Pre-Seed,Low
Evolutionary Ventures,Seed,Low
Great Circle Ventures,Pre-Seed,Low
Calculated Leap Ventures,Seed,Low
Tech Investor Club - Syndicate,Seed,Low
DayDream Ventures,Pre-Seed,Low
Ten31 Bitcoin and Freedom Tech Syndicate,Seed,Low
TDV Partners (US) | Ujwal's Syndicate,Seed,Low
Nomad Ventures,Pre-Seed,Low
Nucleation Capital,Series B,Low
GoodTech Electric,Seed,Low
Network Ventures Syndicate,Series C,Low
Ayuh Ventures,Seed+,Low
Maya Bakhai,Seed,Low
Atman,Seed,Low
Kindergarten Ventures,Seed,Low
"Textbook Ventures - Founders from Columbia, Cornell, and NYU",Pre-Seed,Low
Arkstons Capital,Series A+,Low
Sunflower Fund,Pre-Seed,Low
Caisson Capital Ventures,Seed+,Low
Ollie Howie,Seed,Low
Potluck Ventures (backing #AAPI founders),Seed,Low
Mute Ventures,Pre-Seed,Low
Gonio Ventures,Seed,Low
Youth Development Fund,Seed,Low
Tremis Capital US,Seed,Low
AdValorem Syndicate,Series A+,Low
Rob Hanna / Enduring Ventures,Seed,Low
Intbox Ventures,Series A,Low
TopazProp Ventures,Seed,Low
Melzi VC,Seed,Low
Majic Capital,Series A+,Low
SUM Ventures,Pre-Seed,Low
The Mycelorium,Seed,Low
Cavallon AI,Seed,Low
Storied Ventures,Pre-Seed,Low
Sober Capital,Pre-Seed,New
Galactic Ventures,Series A,New
Maverick Ventures,Seed,New
Riceberg Ventures,Pre-Seed,New
Hero's Journey Capital,Seed+,New
Ikigai Syndicate,Seed,New
Meandros Ventures,Pre-Seed,New
co/fund,Series B,New
Sola View Investments I - Med Tech,Series A,New
Stardust Ventures,Seed+,New
Model Ventures,Seed,New
