Company,Stage,Dealflow
Not Boring,Medium,Low
Newlin.vc,Pre-Seed,Low
Kube VC,Medium,Low
Prithvi Ventures,Seed,Low
Evolutionary Ventures,Medium,Low
Great Circle Ventures,Series A,Low
Calculated Leap Ventures,Medium,Low
Tech Investor Club - Syndicate,Pre-Seed,Low
DayDream Ventures,Medium,Low
Ten31 Bitcoin and Freedom Tech Syndicate,Pre-Seed,Low
TDV Partners (US) | Ujwal's Syndicate,Medium,Low
Nomad Ventures,Series A,Low
GoodTech Electric,Medium,Low
Ayuh Ventures,Seed+,Low
Maya Bakhai,Medium,Low
Atman,Seed+,Low
Kindergarten Ventures,Medium,Low
Australian Gulf Capital,Seed+,Low
"Textbook Ventures - Founders from Columbia, Cornell, and NYU",Medium,Low
Arkstons Capital,Seed+,Low
Sunflower Fund,Medium,Low
Caisson Capital Ventures,Series B,Low
Ollie Howie,Medium,Low
This Week in Fintech's Syndicate,Seed,Low
Potluck Ventures (backing #AAPI founders),Medium,Low
Mute Ventures,Pre-Seed,Low
Gonio Ventures,Medium,Low
Youth Development Fund,Pre-Seed,Low
Tremis Capital US,Medium,Low
AdValorem Syndicate,Series A,Low
Rob Hanna / Enduring Ventures,Medium,Low
Intbox Ventures,Series B,Low
Melzi VC,Medium,Low
Majic Capital,Seed,Low
SUM Ventures,Seed,Low
The Mycelorium,Pre-Seed,Low
Cavallon AI,Pre-Seed,Low
Storied Ventures,Seed+,Low
Galactic Ventures,Seed,New
Maverick Ventures,Seed+,New
Riceberg Ventures,Pre-Seed,New
Hero's Journey Capital,Seed,New
Ikigai Syndicate,Seed,New
Meandros Ventures,Seed,New
Sola View Investments I - Med Tech,Seed,New
Stardust Ventures,Seed+,New
Model Ventures,Seed,New
Jessie Wu,Pre-Seed,New
BuildTech,Seed,New
